Jawaban Responden,Kategori,Kategori Normal
menjadi lebih baik dan sukses membanggakan orang tua,Kerja,Kerja
Menjadi triliuner,Wirausaha,Wirausaha
bisa berubah menjadi lebih baik,Kuliah,Kuliah
lebih baik,Kuliah,Kuliah
"Sukses, punya suami mapan dan tampan",Kerja,Kerja
sukses punya uang 100jt,Wirausaha,Wirausaha
Tidak bosan ,Lainnya,Lainnya
semoga sukses dan tidak lupa dengan Tuhan serta orang yang sudah membantu dalam proses,Lainnya,Lainnya
Sukses,Kuliah,Kuliah
banyak uang,Kerja,Kerja
Sukses ,Kerja,Kerja
"Tentunya bisa sukses dengan berbagai cara baik,capek oy gk punya duit wkwk",Lainnya,Lainnya
"Harapan saya di masa depan,bisa berguna bagi keluarga dan orang sekitar",Kerja,Kerja
enjoy the proces,Kuliah,Kuliah
beberapa langkah di depan,Kerja,Kerja
"Saya berharap bisa menyelesaikan kuliah dengan lancar dan mendapat pekerjaan yang sesuai dengan minat saya. Saya ingin mandiri secara finansial, membantu keluarga, dan punya kehidupan yang lebih stabil dan tenang ke depannya.",Kuliah,Kuliah
Menjadi orang sukses kaya raya,Kuliah,Kuliah
menjadi sukses,Kuliah,Kuliah
jadi orang yang sukes,Kuliah,Kuliah
"Mempunyai keinginan berkembang, mempunyai keinginan untuk ingin tahu lebih dalam bagaimana dunia bekerja, bagaimana dunia memperlakukan manusia. Ketahuilah dirimu tidak memiliki batasan, belajarlah sampai pikiranmu terbuka dan sering berangan ""oh ternyata seperti ini, kalau begitu berarti selama ini.."", itulah hal yang paling menyenangkan, percayalah.",Kuliah,Kuliah
